mission_id,soldier_id,mission_name,start_date,end_date,lead_by
1,1,Operation Alpha,2023-01-01,2023-01-15,8
2,1,Operation Bravo,2023-02-10,2023-02-25,3
3,2,Operation Charlie,2023-03-15,2023-03-30,10
4,4,Operation Delta,2023-04-20,2023-05-05,15
5,9,Operation Echo,2023-05-15,2023-06-01,2
6,6,Operation Foxtrot,2023-06-20,2023-07-05,14
7,2,Operation Golf,2023-07-10,2023-08-01,19
8,1,Operation Hotel,2023-08-15,2023-09-01,6
9,9,Operation India,2023-09-20,2023-10-05,11
10,10,Operation Juliet,2023-10-15,2023-11-01,13
11,11,Operation Kilo,2023-11-20,2023-12-05,4
12,12,Operation Lima,2023-12-15,2024-01-01,9
13,19,Operation Mike,2024-01-20,2024-02-05,12
14,14,Operation November,2024-02-15,2024-03-01,1
15,1,Operation Oscar,2024-03-20,2024-04-05,7
16,16,Operation Papa,2024-04-15,2024-05-01,17
17,17,Operation Quebec,2024-05-20,2024-06-05,5
18,18,Operation Romeo,2024-06-15,2024-07-01,20
19,2,Operation Sierra,2024-07-20,2024-08-05,16
20,15,Operation Tango,2024-08-15,2024-09-01,18
